@relation BlackBoxAuditing
@attribute checking_status {0<=X<200,<0,>=200,"no checking"}
@attribute duration numeric
@attribute credit_history {"all paid","existing paid","critical/other existing credit","no credits/all paid","delayed previously"}
@attribute purpose {repairs,other,radio/tv,business,furniture/equipment,retraining,education,"new car","domestic appliance","used car"}
@attribute credit_amount numeric
@attribute savings_status {500<=X<1000,<100,"no known savings",>=1000,100<=X<500}
@attribute employment {unemployed,4<=X<7,1<=X<4,<1,>=7}
@attribute installment_commitment numeric
@attribute personal_status {"male mar/wid","female div/dep/mar","male single","male div/sep"}
@attribute other_parties {guarantor,"co applicant",none}
@attribute residence numeric
@attribute property_magnitude {"no known property","life insurance",car,"real estate"}
@attribute age_cat {young,old}
@attribute other_payment_plans {bank,stores,none}
@attribute housing {"for free",own,rent}
@attribute existing_credits numeric
@attribute job {"high qualif/self emp/mgmt",skilled,"unemp/unskilled non res","unskilled resident"}
@attribute num_dependents numeric
@attribute own_telephone {yes,none}
@attribute foreign_worker {no,yes}
@attribute class {bad,good}

@data
"no checking",12,"existing paid",furniture/equipment,1574,<100,1<=X<4,4,"male single",none,2,"real estate",old,none,own,1,skilled,1,none,yes,good
>=200,18,"all paid",radio/tv,1445,"no known savings",4<=X<7,4,"male single",none,4,car,old,bank,own,1,"unskilled resident",1,none,yes,good
"no checking",15,"critical/other existing credit",furniture/equipment,1520,"no known savings",>=7,4,"male single",none,4,"life insurance",old,none,own,1,skilled,1,none,yes,good
0<=X<200,24,"critical/other existing credit","new car",3878,100<=X<500,<1,4,"male div/sep",none,2,car,old,none,own,1,skilled,1,yes,yes,good
<0,48,"existing paid","used car",4788,<100,4<=X<7,4,"male single",none,3,"life insurance",old,none,own,1,skilled,2,none,yes,good
0<=X<200,12,"existing paid",radio/tv,1092,<100,1<=X<4,4,"female div/dep/mar",guarantor,4,"real estate",old,none,own,2,skilled,1,yes,yes,good
<0,24,"delayed previously",radio/tv,1024,<100,<1,4,"male mar/wid",none,4,"real estate",old,stores,own,1,skilled,1,none,yes,bad
"no checking",12,"existing paid",business,1076,<100,1<=X<4,2,"male mar/wid",none,2,"real estate",old,none,own,1,skilled,1,yes,no,good
0<=X<200,36,"existing paid","used car",9398,<100,<1,1,"male mar/wid",none,4,car,old,none,rent,1,"high qualif/self emp/mgmt",1,yes,yes,bad
<0,24,"critical/other existing credit","used car",6419,<100,>=7,2,"female div/dep/mar",none,4,"no known property",old,none,"for free",2,"high qualif/self emp/mgmt",2,yes,yes,good
>=200,42,"critical/other existing credit","used car",4796,<100,>=7,4,"male single",none,4,"no known property",old,none,"for free",1,skilled,1,none,yes,good
0<=X<200,48,"existing paid",furniture/equipment,9960,<100,<1,1,"female div/dep/mar",none,2,car,old,none,own,1,skilled,1,yes,yes,bad
"no checking",10,"existing paid","new car",1287,"no known savings",>=7,4,"male single","co applicant",2,"life insurance",old,none,own,1,"unskilled resident",1,none,no,good
"no checking",18,"existing paid",furniture/equipment,2515,<100,1<=X<4,3,"male single",none,4,"real estate",old,none,own,1,skilled,1,yes,yes,good
"no checking",6,"existing paid","new car",672,<100,unemployed,1,"female div/dep/mar",none,4,"real estate",old,none,own,1,"unemp/unskilled non res",1,yes,yes,good
0<=X<200,36,"no credits/all paid",radio/tv,3804,<100,1<=X<4,4,"female div/dep/mar",none,1,car,old,none,own,1,skilled,1,yes,yes,bad
>=200,24,"critical/other existing credit","new car",1344,"no known savings",4<=X<7,4,"male single",none,2,"real estate",old,bank,own,2,"unskilled resident",2,none,yes,bad
<0,10,"critical/other existing credit","new car",1038,<100,4<=X<7,4,"male single","co applicant",3,"life insurance",old,none,own,2,skilled,1,yes,yes,good
"no checking",6,"existing paid",furniture/equipment,1543,>=1000,1<=X<4,4,"male div/sep",none,2,"real estate",old,none,own,1,skilled,1,none,yes,good
<0,12,"existing paid",radio/tv,727,100<=X<500,<1,4,"male mar/wid",none,3,"no known property",old,none,own,1,"unskilled resident",1,yes,yes,bad
0<=X<200,8,"existing paid",furniture/equipment,1237,<100,1<=X<4,3,"female div/dep/mar",none,4,"real estate",young,none,own,1,skilled,1,none,yes,bad
0<=X<200,48,"existing paid",other,5381,"no known savings",unemployed,3,"male single",none,4,"no known property",old,bank,"for free",1,"unemp/unskilled non res",1,yes,yes,good
>=200,24,"existing paid",furniture/equipment,3749,<100,<1,2,"female div/dep/mar",none,4,car,old,none,own,1,skilled,1,none,yes,good
0<=X<200,12,"existing paid","new car",685,<100,4<=X<7,2,"male mar/wid",none,3,car,young,bank,own,1,"unskilled resident",1,none,yes,bad
>=200,4,"existing paid","new car",1494,"no known savings",<1,1,"male single",none,2,"real estate",old,none,own,1,"unskilled resident",2,none,no,good
<0,36,"all paid",furniture/equipment,2746,<100,>=7,4,"male single",none,4,car,old,bank,own,1,skilled,1,none,yes,bad
<0,12,"existing paid",furniture/equipment,708,<100,1<=X<4,2,"male single",guarantor,3,"life insurance",old,none,own,1,"unskilled resident",2,none,yes,good
"no checking",12,"critical/other existing credit",education,701,<100,1<=X<4,4,"male single",none,2,car,old,none,own,2,skilled,1,none,yes,good
<0,15,"delayed previously",furniture/equipment,3643,<100,>=7,1,"female div/dep/mar",none,4,"life insurance",old,none,own,2,"unskilled resident",1,none,yes,good
0<=X<200,30,"critical/other existing credit","new car",4249,<100,unemployed,4,"male mar/wid",none,2,car,old,none,own,2,"high qualif/self emp/mgmt",1,none,yes,bad
<0,24,"existing paid",radio/tv,1938,<100,<1,4,"male div/sep",none,3,"life insurance",old,none,own,1,skilled,1,none,yes,bad
<0,24,"existing paid","used car",2910,<100,4<=X<7,2,"male single",none,1,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,good
<0,18,"existing paid",furniture/equipment,2659,>=1000,1<=X<4,4,"male single",none,2,car,old,none,own,1,skilled,1,none,yes,good
"no checking",18,"critical/other existing credit","new car",1028,<100,1<=X<4,4,"female div/dep/mar",none,3,"real estate",old,none,own,2,skilled,1,none,yes,good
<0,8,"critical/other existing credit","new car",3398,<100,4<=X<7,1,"male single",none,4,"real estate",old,none,own,2,"unskilled resident",1,none,no,good
"no checking",12,"critical/other existing credit",furniture/equipment,5801,"no known savings",>=7,2,"male single",none,4,"life insurance",old,none,rent,1,skilled,1,yes,yes,good
"no checking",24,"existing paid","new car",1525,>=1000,4<=X<7,4,"female div/dep/mar",none,3,car,old,none,own,1,skilled,2,yes,yes,good
>=200,36,"existing paid",radio/tv,4473,<100,>=7,4,"male single",none,2,car,old,none,own,1,skilled,1,none,yes,good
<0,24,"critical/other existing credit","used car",6615,<100,unemployed,2,"male single",none,4,"no known property",old,none,"for free",2,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",48,"critical/other existing credit","used car",11590,100<=X<500,1<=X<4,2,"female div/dep/mar",none,4,car,young,bank,rent,2,"unskilled resident",1,none,yes,bad
<0,24,"no credits/all paid",furniture/equipment,4110,<100,>=7,3,"male single",none,4,"no known property",young,bank,rent,2,skilled,2,none,yes,bad
<0,6,"critical/other existing credit",furniture/equipment,3384,<100,1<=X<4,1,"male div/sep",none,4,"real estate",old,none,rent,1,"high qualif/self emp/mgmt",1,yes,yes,bad
<0,15,"existing paid","domestic appliance",1275,"no known savings",1<=X<4,4,"female div/dep/mar",none,2,car,young,none,rent,1,skilled,1,none,yes,bad
0<=X<200,10,"existing paid",furniture/equipment,1521,<100,1<=X<4,4,"male div/sep",none,2,car,old,none,own,1,"unskilled resident",1,none,yes,good
0<=X<200,24,"critical/other existing credit",education,5743,<100,<1,2,"female div/dep/mar",none,4,"no known property",young,none,"for free",2,skilled,1,yes,yes,good
0<=X<200,18,"existing paid",radio/tv,3213,500<=X<1000,<1,1,"male mar/wid",none,3,"real estate",young,none,rent,1,skilled,1,none,yes,good
0<=X<200,24,"existing paid",radio/tv,3758,500<=X<1000,unemployed,1,"female div/dep/mar",none,4,"no known property",young,none,rent,1,"unemp/unskilled non res",1,none,yes,good
"no checking",6,"delayed previously",business,1743,100<=X<500,1<=X<4,1,"male single",none,2,"real estate",old,none,own,2,"unskilled resident",1,none,yes,good
0<=X<200,9,"critical/other existing credit",education,1136,>=1000,>=7,4,"male single",none,3,"no known property",old,none,"for free",2,skilled,2,none,yes,bad
0<=X<200,9,"existing paid",furniture/equipment,959,<100,1<=X<4,1,"female div/dep/mar",none,2,car,old,none,own,1,skilled,1,none,no,bad
"no checking",18,"critical/other existing credit","used car",3229,"no known savings",unemployed,2,"male single",none,4,"no known property",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",10,"existing paid",education,727,500<=X<1000,>=7,4,"male single",none,4,"no known property",old,none,"for free",1,skilled,1,yes,yes,good
0<=X<200,24,"existing paid","new car",1246,<100,<1,4,"male single",none,2,"real estate",young,stores,own,1,"unskilled resident",1,none,yes,bad
"no checking",12,"critical/other existing credit",radio/tv,2331,"no known savings",>=7,1,"male single","co applicant",4,"real estate",old,none,own,1,skilled,1,yes,yes,good
"no checking",12,"existing paid",radio/tv,776,<100,1<=X<4,4,"male mar/wid",none,2,"real estate",old,none,own,1,skilled,1,none,yes,good
<0,30,"existing paid",furniture/equipment,2406,<100,4<=X<7,4,"female div/dep/mar",none,4,"real estate",young,none,rent,1,skilled,1,none,yes,bad
0<=X<200,18,"existing paid",education,1239,"no known savings",1<=X<4,4,"male single",none,4,"no known property",old,none,"for free",1,skilled,1,none,yes,good
>=200,12,"existing paid",radio/tv,3399,"no known savings",>=7,2,"male single",none,3,car,old,none,own,1,"high qualif/self emp/mgmt",1,none,yes,good
>=200,12,"delayed previously","new car",2247,<100,1<=X<4,2,"female div/dep/mar",none,2,car,old,stores,own,2,skilled,1,yes,yes,good
"no checking",6,"existing paid",furniture/equipment,1766,<100,1<=X<4,1,"male mar/wid",none,2,"life insurance",young,none,rent,1,skilled,1,none,yes,good
<0,18,"existing paid",furniture/equipment,2473,<100,unemployed,4,"male single",none,1,car,young,none,own,1,"unemp/unskilled non res",1,none,yes,bad
"no checking",12,"existing paid",business,1542,<100,4<=X<7,2,"male single",none,4,car,old,none,own,1,skilled,1,yes,yes,good
"no checking",18,"critical/other existing credit","used car",3850,<100,4<=X<7,3,"male single",none,1,car,old,none,own,2,skilled,1,none,yes,good
<0,18,"existing paid",furniture/equipment,3650,<100,<1,1,"female div/dep/mar",none,4,car,young,none,rent,1,skilled,1,none,yes,good
<0,36,"existing paid",furniture/equipment,3446,<100,>=7,4,"male single",none,2,car,old,none,own,1,skilled,2,none,yes,bad
0<=X<200,18,"existing paid",furniture/equipment,3001,<100,4<=X<7,2,"female div/dep/mar",none,4,"real estate",old,none,rent,1,skilled,1,none,yes,good
"no checking",60,"critical/other existing credit","new car",13756,"no known savings",>=7,2,"male single",none,4,"no known property",old,bank,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,good
0<=X<200,60,"all paid",other,14782,100<=X<500,>=7,3,"female div/dep/mar",none,4,"no known property",old,bank,"for free",2,"high qualif/self emp/mgmt",1,yes,yes,bad
<0,48,"all paid",business,7685,<100,4<=X<7,2,"female div/dep/mar",guarantor,4,car,old,none,rent,1,skilled,1,none,yes,bad
"no checking",18,"delayed previously",radio/tv,2320,<100,unemployed,2,"male mar/wid",none,3,"real estate",old,none,own,2,skilled,1,none,yes,good
<0,20,"existing paid",furniture/equipment,2212,"no known savings",4<=X<7,4,"male single",none,4,car,old,none,own,1,skilled,1,yes,yes,good
0<=X<200,18,"existing paid","used car",12976,<100,unemployed,3,"female div/dep/mar",none,4,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",22,"existing paid","new car",1283,"no known savings",4<=X<7,4,"female div/dep/mar",none,4,"life insurance",young,none,rent,1,skilled,1,none,yes,good
"no checking",30,"delayed previously",business,4272,100<=X<500,1<=X<4,2,"male single",none,2,"life insurance",old,none,own,2,"unskilled resident",1,none,yes,good
"no checking",18,"critical/other existing credit",radio/tv,2238,<100,1<=X<4,2,"female div/dep/mar",none,1,car,young,none,own,2,skilled,1,none,yes,good
"no checking",18,"existing paid",radio/tv,1126,"no known savings",<1,4,"female div/dep/mar",none,2,"real estate",young,none,rent,1,skilled,1,yes,yes,good
0<=X<200,15,"critical/other existing credit",business,2326,500<=X<1000,1<=X<4,2,"male single",none,4,car,old,bank,own,1,skilled,1,none,yes,good
"no checking",9,"existing paid",business,1449,<100,4<=X<7,3,"female div/dep/mar",none,2,car,old,none,own,2,skilled,1,none,yes,good
"no checking",18,"existing paid","new car",1820,<100,1<=X<4,2,"male mar/wid",none,2,"life insurance",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
0<=X<200,12,"existing paid",furniture/equipment,983,>=1000,<1,1,"female div/dep/mar",none,4,"real estate",young,none,rent,1,"unskilled resident",1,none,yes,good
<0,36,"existing paid","new car",3249,<100,4<=X<7,2,"male single",none,4,"no known property",old,bank,"for free",1,"high qualif/self emp/mgmt",2,yes,yes,good
<0,6,"critical/other existing credit",radio/tv,1957,<100,4<=X<7,1,"female div/dep/mar",none,4,car,old,none,own,1,skilled,1,none,yes,good
<0,12,"existing paid",furniture/equipment,2578,<100,unemployed,3,"female div/dep/mar",none,4,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,none,yes,good
0<=X<200,12,"existing paid","new car",1223,<100,>=7,1,"male div/sep",none,1,"real estate",old,none,rent,2,skilled,1,none,yes,bad
"no checking",24,"critical/other existing credit",radio/tv,1516,>=1000,1<=X<4,4,"female div/dep/mar",none,1,"real estate",old,none,own,2,"unskilled resident",1,none,yes,good
0<=X<200,18,"critical/other existing credit",business,1887,"no known savings",1<=X<4,4,"male mar/wid",none,4,"real estate",old,bank,own,2,skilled,1,none,yes,good
"no checking",24,"delayed previously",business,8648,<100,<1,2,"male single",none,2,car,old,bank,own,2,skilled,1,yes,yes,bad
"no checking",14,"delayed previously","new car",802,<100,1<=X<4,4,"male single",none,2,car,old,none,own,2,"unskilled resident",1,none,yes,good
0<=X<200,18,"delayed previously","new car",2899,"no known savings",>=7,4,"male single",none,4,car,old,none,own,1,skilled,2,none,yes,good
0<=X<200,24,"existing paid",radio/tv,2039,<100,<1,1,"male mar/wid",none,1,"life insurance",young,none,own,1,skilled,1,yes,yes,bad
"no checking",24,"critical/other existing credit","used car",2197,"no known savings",4<=X<7,4,"male single",none,4,car,old,none,own,2,skilled,2,yes,yes,good
<0,15,"existing paid",radio/tv,1053,<100,<1,4,"male mar/wid",none,2,"real estate",old,none,own,1,skilled,1,none,no,good
>=200,12,"critical/other existing credit","new car",939,500<=X<1000,4<=X<7,4,"male mar/wid",none,2,"real estate",old,none,own,3,skilled,1,yes,yes,bad
0<=X<200,24,"existing paid",radio/tv,1967,<100,>=7,4,"female div/dep/mar",none,4,car,young,none,own,1,skilled,1,yes,yes,good
"no checking",33,"critical/other existing credit","used car",7253,<100,4<=X<7,3,"male single",none,2,car,old,none,own,2,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",10,"existing paid","new car",1597,500<=X<1000,1<=X<4,3,"male single",none,2,"no known property",old,none,rent,1,"unskilled resident",2,none,no,good
<0,24,"existing paid","new car",1381,"no known savings",1<=X<4,4,"female div/dep/mar",none,2,"life insurance",old,none,own,1,skilled,1,none,yes,bad
<0,12,"existing paid","new car",2579,<100,<1,4,"male single",none,1,"real estate",old,none,own,1,"unskilled resident",2,none,yes,bad
<0,18,"delayed previously",education,8471,"no known savings",1<=X<4,1,"female div/dep/mar",none,2,car,young,none,rent,2,skilled,1,yes,yes,good
"no checking",21,"existing paid","new car",2782,500<=X<1000,4<=X<7,1,"female div/dep/mar",none,2,car,old,bank,own,1,"high qualif/self emp/mgmt",1,none,yes,good
"no checking",15,"existing paid","new car",3186,>=1000,4<=X<7,2,"female div/dep/mar",none,3,car,young,none,rent,1,skilled,1,none,yes,good
0<=X<200,18,"existing paid","used car",2779,<100,1<=X<4,1,"male mar/wid",none,3,car,young,none,rent,1,skilled,1,yes,yes,good
"no checking",28,"critical/other existing credit",radio/tv,2743,<100,>=7,4,"male single",none,2,car,old,none,own,2,skilled,1,none,yes,good
"no checking",5,"existing paid",business,3448,<100,4<=X<7,1,"male single",none,4,"real estate",old,none,own,1,"unskilled resident",1,none,yes,good
0<=X<200,24,"existing paid",other,11328,<100,1<=X<4,2,"male single","co applicant",3,car,old,bank,own,2,"high qualif/self emp/mgmt",1,yes,yes,bad
<0,6,"critical/other existing credit",furniture/equipment,1872,<100,unemployed,4,"male single",none,4,"no known property",old,none,"for free",3,"high qualif/self emp/mgmt",1,yes,yes,good
0<=X<200,12,"existing paid",radio/tv,1484,"no known savings",1<=X<4,2,"male mar/wid",none,1,"real estate",young,none,own,1,skilled,1,yes,yes,bad
"no checking",6,"existing paid",repairs,660,500<=X<1000,4<=X<7,2,"male mar/wid",none,4,"real estate",young,none,rent,1,"unskilled resident",1,none,yes,good
"no checking",24,"critical/other existing credit","new car",1287,>=1000,>=7,4,"female div/dep/mar",none,4,"real estate",old,none,own,2,skilled,1,yes,yes,good
<0,42,"critical/other existing credit",repairs,3394,<100,unemployed,4,"male single","co applicant",4,car,old,none,own,2,"unemp/unskilled non res",1,none,yes,good
>=200,12,"all paid",business,609,<100,<1,4,"female div/dep/mar",none,1,"real estate",old,none,own,1,"unemp/unskilled non res",1,none,yes,bad
<0,12,"existing paid",furniture/equipment,1620,<100,1<=X<4,2,"female div/dep/mar","co applicant",3,"life insurance",old,none,own,1,skilled,1,none,yes,good
0<=X<200,20,"delayed previously",other,2629,<100,1<=X<4,2,"male single",none,3,car,old,bank,own,2,skilled,1,yes,yes,good
"no checking",12,"existing paid",education,719,<100,>=7,4,"male single",none,4,car,old,bank,own,1,"unskilled resident",2,none,yes,bad
"no checking",9,"critical/other existing credit",education,1244,"no known savings",>=7,4,"female div/dep/mar",none,4,"life insurance",old,none,rent,2,"unskilled resident",1,none,yes,good
<0,36,"existing paid","new car",1842,<100,<1,4,"female div/dep/mar",none,4,car,old,none,own,1,skilled,1,yes,yes,bad
0<=X<200,7,"existing paid",radio/tv,2576,<100,1<=X<4,2,"male single",guarantor,2,"real estate",old,none,own,1,skilled,1,none,yes,good
0<=X<200,15,"delayed previously",repairs,1512,>=1000,1<=X<4,3,"male mar/wid",none,3,"life insurance",old,stores,own,2,skilled,1,none,yes,bad
"no checking",36,"critical/other existing credit","used car",11054,"no known savings",1<=X<4,4,"male single",none,2,car,old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",12,"no credits/all paid",furniture/equipment,2759,<100,>=7,2,"male single",none,4,"life insurance",old,none,own,2,skilled,1,none,yes,good
<0,24,"existing paid","new car",4817,<100,4<=X<7,2,"male single","co applicant",3,"life insurance",old,none,own,1,skilled,1,yes,yes,bad
"no checking",24,"existing paid","used car",2679,<100,<1,4,"female div/dep/mar",none,1,"no known property",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
<0,6,"existing paid","domestic appliance",343,<100,<1,4,"female div/dep/mar",none,1,"real estate",old,none,own,1,skilled,1,none,yes,good
<0,15,"existing paid","new car",1721,<100,<1,2,"male single",none,3,"real estate",old,none,own,1,skilled,1,none,yes,good
0<=X<200,12,"existing paid",furniture/equipment,3017,<100,<1,3,"female div/dep/mar",none,1,"real estate",old,none,rent,1,"high qualif/self emp/mgmt",1,none,yes,good
0<=X<200,12,"existing paid",retraining,754,"no known savings",>=7,4,"male single",none,4,"life insurance",old,none,own,2,skilled,1,none,yes,good
"no checking",18,"existing paid",business,1950,<100,4<=X<7,4,"male single",none,1,car,old,stores,own,2,skilled,1,yes,yes,good
<0,24,"existing paid","used car",2924,<100,1<=X<4,3,"male single",guarantor,4,"no known property",old,bank,own,1,skilled,2,yes,yes,good
<0,24,"delayed previously",radio/tv,1659,<100,<1,4,"female div/dep/mar",none,2,car,old,none,rent,1,"unskilled resident",1,yes,yes,bad
"no checking",33,"delayed previously",business,2764,<100,1<=X<4,2,"female div/dep/mar",none,2,car,old,none,own,2,skilled,1,yes,yes,good
0<=X<200,24,"existing paid",radio/tv,3092,100<=X<500,<1,3,"male mar/wid",none,2,car,young,none,rent,1,skilled,1,yes,yes,bad
<0,9,"existing paid","new car",654,<100,1<=X<4,4,"male single",none,3,car,old,none,own,1,"unskilled resident",1,none,yes,bad
"no checking",6,"existing paid",retraining,1238,"no known savings",unemployed,4,"male single",none,4,"life insurance",old,none,own,1,"high qualif/self emp/mgmt",2,yes,yes,good
<0,18,"no credits/all paid",furniture/equipment,3114,<100,<1,1,"female div/dep/mar",none,4,"life insurance",old,none,rent,1,skilled,1,none,yes,bad
"no checking",39,"existing paid","used car",2569,500<=X<1000,1<=X<4,4,"male single",none,4,car,young,none,own,1,skilled,1,none,yes,good
0<=X<200,12,"existing paid",business,1037,100<=X<500,4<=X<7,3,"male single",none,4,"real estate",old,none,own,1,"unskilled resident",1,none,yes,good
0<=X<200,24,"existing paid","new car",1201,<100,<1,4,"male single",none,1,"life insurance",old,none,own,1,skilled,1,none,yes,good
<0,30,"existing paid",furniture/equipment,3622,>=1000,>=7,4,"female div/dep/mar",none,4,"life insurance",old,none,rent,2,skilled,1,yes,yes,good
0<=X<200,6,"delayed previously","new car",1209,<100,unemployed,4,"male single",none,4,"life insurance",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",12,"existing paid",radio/tv,3077,<100,1<=X<4,2,"male single",none,4,car,old,none,own,1,skilled,1,yes,yes,good
"no checking",24,"existing paid","new car",3757,<100,>=7,4,"female div/dep/mar","co applicant",4,"no known property",old,none,"for free",1,skilled,1,yes,yes,good
"no checking",10,"existing paid","new car",1418,100<=X<500,1<=X<4,3,"male single",none,2,"real estate",old,none,rent,1,"unskilled resident",1,none,no,good
"no checking",6,"existing paid","new car",3518,<100,1<=X<4,2,"male single",guarantor,3,"life insurance",old,none,rent,1,skilled,1,none,yes,good
0<=X<200,6,"existing paid",radio/tv,368,"no known savings",>=7,4,"male single",none,4,"life insurance",old,none,own,1,skilled,1,none,yes,good
<0,12,"critical/other existing credit","new car",2122,<100,1<=X<4,3,"male single",none,2,"real estate",old,none,rent,2,"unskilled resident",2,none,no,good
<0,24,"existing paid",furniture/equipment,2996,"no known savings",1<=X<4,2,"male mar/wid",none,4,car,young,none,own,1,skilled,1,none,yes,bad
0<=X<200,36,"existing paid",furniture/equipment,9034,100<=X<500,<1,4,"male single","co applicant",1,"no known property",old,none,rent,1,"high qualif/self emp/mgmt",1,yes,yes,bad
"no checking",24,"critical/other existing credit",furniture/equipment,1585,<100,4<=X<7,4,"male single",none,3,"life insurance",old,none,own,2,skilled,1,none,yes,good
0<=X<200,18,"existing paid",radio/tv,1301,<100,>=7,4,"male mar/wid",guarantor,2,"real estate",old,none,own,1,"unskilled resident",1,none,yes,good
<0,24,"existing paid","new car",3123,<100,<1,4,"female div/dep/mar",none,1,"life insurance",old,none,own,1,skilled,1,none,yes,bad
<0,36,"existing paid","used car",5493,<100,>=7,2,"male single",none,4,"no known property",old,none,"for free",1,skilled,2,none,yes,good
>=200,9,"existing paid",radio/tv,1126,100<=X<500,>=7,2,"male div/sep",none,4,"real estate",old,none,own,1,skilled,1,none,yes,good
0<=X<200,24,"critical/other existing credit",radio/tv,1216,100<=X<500,<1,4,"male single",none,4,"no known property",old,bank,own,2,skilled,2,none,yes,bad
<0,24,"existing paid","new car",1207,<100,<1,4,"female div/dep/mar",none,4,"life insurance",young,none,rent,1,skilled,1,none,yes,bad
"no checking",10,"existing paid","new car",1309,"no known savings",1<=X<4,4,"male single",guarantor,4,"life insurance",old,none,own,1,"unskilled resident",1,none,yes,bad
"no checking",39,"existing paid","used car",8588,100<=X<500,>=7,4,"male single",none,2,car,old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
"no checking",36,"existing paid","used car",4686,<100,1<=X<4,2,"male single",none,2,"no known property",old,none,"for free",1,"high qualif/self emp/mgmt",1,yes,yes,good
>=200,15,"existing paid",business,2687,<100,4<=X<7,2,"male single",none,4,"life insurance",old,none,rent,1,skilled,1,yes,yes,good
"no checking",24,"existing paid","new car",2255,"no known savings",<1,4,"male single",none,1,"life insurance",old,none,own,1,skilled,1,none,yes,good
<0,6,"critical/other existing credit","new car",609,<100,4<=X<7,4,"female div/dep/mar",none,3,"life insurance",old,none,own,2,skilled,1,none,no,good
"no checking",36,"critical/other existing credit",furniture/equipment,7127,<100,<1,2,"female div/dep/mar",none,4,"life insurance",young,none,rent,2,skilled,1,yes,yes,bad
<0,6,"existing paid","new car",1203,100<=X<500,>=7,3,"male single",none,2,"life insurance",old,none,own,1,skilled,1,yes,yes,good
<0,48,"no credits/all paid",furniture/equipment,7119,<100,1<=X<4,3,"male single",none,4,"no known property",old,none,"for free",2,skilled,2,none,yes,bad
"no checking",24,"existing paid","used car",3488,100<=X<500,4<=X<7,3,"female div/dep/mar",none,4,car,young,none,own,1,skilled,1,none,yes,good
0<=X<200,18,"existing paid",radio/tv,1113,<100,1<=X<4,4,"female div/dep/mar",guarantor,4,"real estate",old,none,own,1,"unskilled resident",2,none,yes,good
0<=X<200,26,"existing paid","used car",7966,<100,<1,2,"male single",none,3,car,old,none,own,2,skilled,1,none,yes,good
"no checking",15,"critical/other existing credit",education,1532,100<=X<500,1<=X<4,4,"female div/dep/mar",none,3,car,old,none,own,1,skilled,1,none,yes,good
"no checking",4,"critical/other existing credit",radio/tv,1503,<100,4<=X<7,2,"male single",none,1,"real estate",old,none,own,2,"unskilled resident",2,none,yes,good
0<=X<200,36,"existing paid",education,2273,<100,4<=X<7,3,"male single",none,1,car,old,none,own,2,skilled,2,none,yes,good
0<=X<200,15,"existing paid","new car",2631,100<=X<500,1<=X<4,2,"female div/dep/mar",none,4,car,old,none,rent,2,skilled,1,yes,yes,bad
<0,6,"existing paid","new car",1374,"no known savings",unemployed,4,"female div/dep/mar",none,3,"life insurance",old,none,own,1,"high qualif/self emp/mgmt",1,yes,yes,good
0<=X<200,18,"critical/other existing credit",furniture/equipment,3612,<100,>=7,3,"female div/dep/mar",none,4,"life insurance",old,none,own,1,skilled,1,yes,yes,good
>=200,18,"existing paid",furniture/equipment,3049,<100,<1,1,"female div/dep/mar",none,1,"life insurance",old,stores,own,1,"unskilled resident",1,none,yes,good
<0,30,"existing paid",furniture/equipment,6350,"no known savings",>=7,4,"male single",none,4,"life insurance",old,none,own,1,skilled,1,none,yes,bad
>=200,18,"existing paid",furniture/equipment,2864,<100,1<=X<4,2,"male single",none,1,"real estate",old,none,own,1,"unskilled resident",2,none,yes,bad
"no checking",12,"critical/other existing credit","new car",1255,<100,>=7,4,"male single",none,4,"real estate",old,none,own,2,"unskilled resident",1,none,yes,good
<0,24,"delayed previously","new car",1333,<100,unemployed,4,"male single",none,2,"real estate",old,none,"for free",2,skilled,2,none,yes,bad
"no checking",24,"critical/other existing credit","new car",2022,<100,1<=X<4,4,"female div/dep/mar",none,4,car,old,none,own,1,skilled,1,yes,yes,good
"no checking",24,"existing paid",radio/tv,1552,<100,4<=X<7,3,"male single",none,1,car,old,bank,own,1,skilled,2,none,yes,good
"no checking",12,"critical/other existing credit",repairs,996,"no known savings",4<=X<7,4,"female div/dep/mar",none,4,"real estate",young,none,own,2,skilled,1,none,yes,good
<0,48,"existing paid",radio/tv,6999,<100,4<=X<7,1,"male mar/wid",guarantor,1,"real estate",old,none,own,2,skilled,1,yes,yes,bad
0<=X<200,12,"critical/other existing credit","new car",1995,100<=X<500,<1,4,"male single",none,1,car,old,none,own,1,skilled,1,none,yes,good
0<=X<200,9,"existing paid",education,1199,<100,4<=X<7,4,"female div/dep/mar",none,4,"life insurance",old,none,own,2,"high qualif/self emp/mgmt",1,yes,yes,good
0<=X<200,12,"existing paid",radio/tv,1331,<100,<1,2,"male single",none,1,car,young,stores,own,1,skilled,1,none,yes,bad
